Gemcitabine Dosage (nM), Replicate, Time (hr), Organoid count, Organoid area (px), Total fluorescence (au), Masked total fluorescence (au)
0,1,0,26,41,929899,37445
0,1,4,26,50,971933,49118
0,1,8,25,53,967217,52783
0,1,12,25,54,1016371,57410
0,1,16,27,61,1002974,65096
0,1,20,28,67,1047344,75662
0,1,24,29,68,1018494,75975
0,1,28,29,71,1044321,84321
0,1,32,30,74,1058039,88863
0,1,36,29,78,1037174,92413
0,1,40,26,80,1055605,97300
0,1,44,30,83,1062027,104166
0,1,48,29,85,1084191,111357
0,1,52,31,89,1104131,120476
0,1,56,33,91,1152998,134450
0,1,60,31,89,1124977,131842
0,1,64,29,84,1180736,136580
0,1,68,30,85,1186231,143338
0,1,72,34,91,1176805,152528
0,2,0,32,57,897716,51943
0,2,4,28,54,934108,53417
0,2,8,34,70,927349,70344
0,2,12,33,72,974689,77218
0,2,16,28,70,963456,76022
0,2,20,33,76,1006531,87554
0,2,24,34,80,979650,92238
0,2,28,37,83,1005480,94321
0,2,32,37,95,1021384,112508
0,2,36,36,99,1003365,116632
0,2,40,35,101,1020376,123466
0,2,44,33,92,1021976,117791
0,2,48,31,89,1042820,117817
0,2,52,30,92,1062088,129669
0,2,56,31,97,1112155,150206
0,2,60,35,104,1080583,152358
0,2,64,37,103,1126484,162031
0,2,68,36,101,1123764,160869
0,2,72,37,100,1112293,159700
0,3,0,22,51,991747,52331
0,3,4,20,51,1048087,59256
0,3,8,22,57,1036439,66290
0,3,12,21,56,1098891,71034
0,3,16,22,62,1083892,78086
0,3,20,24,68,1137916,91126
0,3,24,25,76,1104448,96751
0,3,28,25,78,1139362,103360
0,3,32,22,75,1157255,102761
0,3,36,24,75,1141614,103407
0,3,40,25,79,1162503,112329
0,3,44,25,84,1165142,122564
0,3,48,24,84,1191773,128886
0,3,52,24,82,1211944,129214
0,3,56,25,86,1259982,142925
0,3,60,26,87,1225208,140941
0,3,64,24,78,1293209,139313
0,3,68,24,79,1293783,143046
0,3,72,24,77,1282614,140846
0,4,0,27,53,908406,47711
0,4,4,31,63,945187,62669
0,4,8,30,72,939960,71965
0,4,12,33,73,998411,79580
0,4,16,31,76,990624,83804
0,4,20,33,79,1044840,94233
0,4,24,34,88,1016602,102661
0,4,28,31,83,1055307,103154
0,4,32,33,99,1078059,124776
0,4,36,33,99,1065053,125598
0,4,40,34,104,1090299,135493
0,4,44,36,108,1096470,142608
0,4,48,33,104,1126248,144419
0,4,52,35,110,1146759,156167
0,4,56,36,111,1197439,168728
0,4,60,35,108,1166089,160166
0,4,64,33,107,1227142,168715
0,4,68,33,108,1224245,172297
0,4,72,32,105,1214875,167225
0,5,0,40,96,850010,78470
0,5,4,40,98,876393,94796
0,5,8,40,100,879677,95038
0,5,12,40,112,930199,118969
0,5,16,42,118,925360,127306
0,5,20,45,128,972750,149100
0,5,24,43,135,951480,154626
0,5,28,42,139,983826,170176
0,5,32,45,134,1005319,171749
0,5,36,46,154,994001,188871
0,5,40,47,156,1010960,203457
0,5,44,41,147,1018550,196351
0,5,48,43,153,1048182,210169
0,5,52,40,150,1074172,218389
0,5,56,45,162,1122394,250988
0,5,60,40,151,1106707,236687
0,5,64,47,164,1172460,286552
0,5,68,49,164,1178111,294074
0,5,72,46,149,1173381,263747
0,0,0,37,77,881292,66450
0,0,4,39,87,927139,84743
0,0,8,38,93,929591,92944
0,0,12,40,93,980914,104001
0,0,16,43,114,975658,125512
0,0,20,40,106,1024311,127339
0,0,24,43,110,1000349,129966
0,0,28,43,117,1036797,146827
0,0,32,40,124,1059482,159745
0,0,36,45,136,1048093,172214
0,0,40,43,145,1067329,188418
0,0,44,44,139,1073619,183576
0,0,48,42,139,1100351,187154
0,0,52,48,140,1122671,194816
0,0,56,43,136,1170368,201362
0,0,60,43,137,1149839,200825
0,0,64,43,141,1211659,222953
0,0,68,42,136,1215996,219735
0,0,72,44,136,1213720,223498
1000,1,0,34,55,883770,49806
1000,1,4,35,60,928580,62560
1000,1,8,34,66,923468,70808
1000,1,12,36,63,982990,75764
1000,1,16,36,59,990567,77266
1000,1,20,33,55,1073323,89023
1000,1,24,35,51,1086282,89703
1000,1,28,30,44,1180171,93935
1000,1,32,32,43,1264724,106634
1000,1,36,25,38,1309028,110389
1000,1,40,25,35,1391079,116400
1000,1,44,23,36,1453751,129317
1000,1,48,23,36,1523569,140899
1000,1,52,26,40,1574047,158592
1000,1,56,28,43,1653127,176857
1000,1,60,27,42,1607477,170035
1000,1,64,27,40,1685427,163612
1000,1,68,24,35,1663062,147953
1000,1,72,24,36,1632198,148875
1000,2,0,29,56,886678,58640
1000,2,4,26,58,932711,66911
1000,2,8,25,60,929719,65076
1000,2,12,24,58,985609,72080
1000,2,16,25,54,994602,75292
1000,2,20,25,49,1079107,85621
1000,2,24,22,45,1092925,89523
1000,2,28,23,45,1186789,107282
1000,2,32,20,43,1278619,124494
1000,2,36,20,40,1321743,128354
1000,2,40,16,36,1410284,138019
1000,2,44,17,37,1475416,148928
1000,2,48,18,40,1562007,170801
1000,2,52,16,37,1615643,169734
1000,2,56,19,41,1691513,192567
1000,2,60,17,38,1640961,175242
1000,2,64,17,43,1729379,205245
1000,2,68,16,40,1701175,196826
1000,2,72,18,41,1671467,198194
1000,3,0,36,71,894563,63640
1000,3,4,31,68,940385,67884
1000,3,8,29,75,943184,77099
1000,3,12,31,65,1005961,79051
1000,3,16,31,65,1022176,86882
1000,3,20,27,59,1117777,97957
1000,3,24,27,55,1129447,104673
1000,3,28,24,44,1235791,104149
1000,3,32,25,50,1336148,142970
1000,3,36,23,48,1394029,153078
1000,3,40,22,50,1483134,177230
1000,3,44,21,47,1549893,182509
1000,3,48,21,50,1630817,208955
1000,3,52,21,50,1686120,218978
1000,3,56,21,51,1770516,236353
1000,3,60,22,51,1710110,223376
1000,3,64,23,53,1801159,248130
1000,3,68,21,53,1768871,242919
1000,3,72,22,54,1741244,243835
1000,4,0,41,84,930120,75566
1000,4,4,38,82,983583,80900
1000,4,8,35,88,986287,89342
1000,4,12,34,84,1057420,97659
1000,4,16,34,73,1080286,96554
1000,4,20,35,71,1187253,113106
1000,4,24,31,63,1212640,117097
1000,4,28,26,57,1335945,131657
1000,4,32,26,48,1456022,130109
1000,4,36,25,45,1526231,142431
1000,4,40,25,55,1643480,189802
1000,4,44,27,56,1729999,211396
1000,4,48,22,55,1839279,233054
1000,4,52,23,53,1913830,235465
1000,4,56,20,50,2022296,245233
1000,4,60,25,54,1960106,249317
1000,4,64,21,53,2077969,262061
1000,4,68,23,53,2047387,260633
1000,4,72,22,54,2020968,261521
1000,5,0,30,56,901454,51530
1000,5,4,23,45,943510,43956
1000,5,8,24,50,951597,50326
1000,5,12,23,47,1019425,52773
1000,5,16,24,44,1040340,55427
1000,5,20,24,41,1145796,61784
1000,5,24,23,35,1166916,58281
1000,5,28,21,35,1292139,72693
1000,5,32,20,30,1412545,73048
1000,5,36,20,31,1475452,79703
1000,5,40,20,30,1584484,86670
1000,5,44,20,32,1653544,102948
1000,5,48,19,30,1745368,104392
1000,5,52,22,33,1809562,123870
1000,5,56,20,34,1909274,136324
1000,5,60,20,34,1841448,131197
1000,5,64,18,30,1942960,120900
1000,5,68,18,29,1898658,115154
1000,5,72,18,26,1880550,103978
1000,0,0,26,69,827180,60719
1000,0,4,24,64,852788,62648
1000,0,8,23,63,861893,65236
1000,0,12,23,66,918020,77076
1000,0,16,25,60,930445,79283
1000,0,20,23,52,1007747,85842
1000,0,24,24,50,1017121,94519
1000,0,28,18,41,1112312,98565
1000,0,32,20,40,1211299,119005
1000,0,36,20,44,1259655,148463
1000,0,40,21,38,1349003,150024
1000,0,44,18,35,1396313,151118
1000,0,48,13,31,1470970,149915
1000,0,52,14,31,1512937,164758
1000,0,56,17,34,1589879,180089
1000,0,60,15,32,1538419,167975
1000,0,64,15,33,1613386,183087
1000,0,68,14,32,1582546,176620
1000,0,72,14,32,1564645,172575
300,1,0,32,57,996897,57561
300,1,4,26,53,1059384,59268
300,1,8,26,61,1052280,69599
300,1,12,28,56,1115054,71613
300,1,16,29,61,1105979,83792
300,1,20,26,53,1186593,89849
300,1,24,23,47,1180214,89679
300,1,28,22,45,1271636,108383
300,1,32,23,48,1353716,133202
300,1,36,19,42,1387769,133279
300,1,40,18,42,1472178,150889
300,1,44,17,41,1521087,162189
300,1,48,17,41,1597352,178954
300,1,52,17,42,1636817,190255
300,1,56,17,43,1721796,206211
300,1,60,17,42,1660326,195315
300,1,64,16,40,1747043,206254
300,1,68,18,39,1714756,201834
300,1,72,17,39,1694257,198499
300,2,0,35,104,890536,89417
300,2,4,37,126,936634,121675
300,2,8,41,139,935356,138583
300,2,12,39,127,996695,144963
300,2,16,37,111,1010991,135287
300,2,20,38,105,1105301,157550
300,2,24,38,96,1122336,163791
300,2,28,35,89,1243554,190821
300,2,32,33,86,1357063,236803
300,2,36,36,91,1432837,282055
300,2,40,30,77,1535071,260611
300,2,44,34,88,1604055,320327
300,2,48,31,80,1703236,313889
300,2,52,27,77,1767445,314885
300,2,56,28,71,1867691,317929
300,2,60,28,70,1813243,307122
300,2,64,25,68,1917944,323238
300,2,68,27,73,1889865,331839
300,2,72,26,70,1867888,319738
300,3,0,29,47,862420,41898
300,3,4,39,59,890382,54703
300,3,8,34,62,891519,58865
300,3,12,34,60,945662,62311
300,3,16,36,57,953162,60852
300,3,20,32,51,1041149,64620
300,3,24,28,45,1057413,62412
300,3,28,29,44,1164909,72853
300,3,32,28,37,1259954,74783
300,3,36,22,32,1318616,73378
300,3,40,25,35,1408714,89320
300,3,44,25,37,1467826,105775
300,3,48,22,35,1559729,106565
300,3,52,23,34,1615415,111728
300,3,56,22,33,1703890,120121
300,3,60,22,35,1652826,121061
300,3,64,22,34,1741262,126823
300,3,68,17,25,1721125,98421
300,3,72,18,25,1705125,95071
300,4,0,20,28,833486,24757
300,4,4,19,28,857861,25952
300,4,8,20,31,858591,27927
300,4,12,24,34,909131,34761
300,4,16,23,33,914282,33278
300,4,20,22,33,992671,40059
300,4,24,16,24,1004606,32543
300,4,28,21,29,1104574,49539
300,4,32,22,32,1188393,61540
300,4,36,19,28,1239136,59521
300,4,40,20,28,1324599,68027
300,4,44,17,25,1379707,65063
300,4,48,19,28,1458268,78836
300,4,52,19,24,1509864,67065
300,4,56,20,29,1591192,89142
300,4,60,20,30,1539627,91321
300,4,64,18,28,1619384,93629
300,4,68,16,21,1599356,72448
300,4,72,16,23,1582234,73911
300,5,0,21,50,879928,46656
300,5,4,23,46,906292,48145
300,5,8,25,59,903731,62706
300,5,12,25,59,954896,69979
300,5,16,26,53,956876,68604
300,5,20,24,48,1030743,76641
300,5,24,24,45,1027784,80481
300,5,28,20,37,1116485,81428
300,5,32,20,34,1197440,92745
300,5,36,21,35,1237851,107205
300,5,40,22,35,1316274,115356
300,5,44,20,33,1365967,115077
300,5,48,17,33,1435262,129675
300,5,52,16,30,1475495,121931
300,5,56,15,30,1547066,127117
300,5,60,16,31,1494845,132153
300,5,64,17,33,1565732,141447
300,5,68,17,33,1540469,141035
300,5,72,15,29,1518284,120419
300,0,0,26,66,895171,62795
300,0,4,29,67,931555,70263
300,0,8,25,69,928021,71947
300,0,12,22,66,979049,76707
300,0,16,24,67,975782,84093
300,0,20,22,58,1052930,92124
300,0,24,21,52,1046867,93750
300,0,28,21,50,1144301,110965
300,0,32,16,43,1224782,119547
300,0,36,16,41,1271660,126013
300,0,40,18,45,1360122,161715
300,0,44,17,43,1399932,167090
300,0,48,17,43,1474543,179689
300,0,52,18,44,1506152,190682
300,0,56,18,43,1575896,193362
300,0,60,16,42,1520465,181446
300,0,64,15,43,1586482,199870
300,0,68,14,38,1556222,178277
300,0,72,16,42,1531142,186051
100,1,0,34,77,900083,71877
100,1,4,32,75,940960,77907
100,1,8,32,86,943050,88225
100,1,12,30,86,999650,96000
100,1,16,33,84,1000929,101966
100,1,20,32,73,1095812,110873
100,1,24,31,70,1113241,117484
100,1,28,30,57,1249167,128812
100,1,32,25,52,1379089,143134
100,1,36,27,59,1478416,181097
100,1,40,19,42,1608895,146337
100,1,44,22,45,1701757,174140
100,1,48,23,49,1826483,207983
100,1,52,22,53,1897975,234170
100,1,56,24,57,2012871,263794
100,1,60,22,53,1950216,239538
100,1,64,24,56,2052575,264519
100,1,68,23,54,2021293,250744
100,1,72,24,55,1993495,249569
100,2,0,28,61,880812,54253
100,2,4,32,74,921877,72158
100,2,8,35,84,925596,84757
100,2,12,30,84,992331,93851
100,2,16,31,71,1005234,87294
100,2,20,31,68,1109019,102096
100,2,24,30,60,1134951,101591
100,2,28,30,54,1290560,120759
100,2,32,25,50,1426493,149964
100,2,36,25,48,1540470,168377
100,2,40,23,50,1686995,202609
100,2,44,24,44,1780319,193933
100,2,48,27,52,1911513,242251
100,2,52,24,50,1993916,258634
100,2,56,24,51,2112634,274264
100,2,60,23,49,2058996,243977
100,2,64,24,47,2173267,260713
100,2,68,25,48,2145096,245111
100,2,72,24,55,2119879,281568
100,3,0,28,46,897166,39961
100,3,4,25,46,930554,43550
100,3,8,22,48,931911,46060
100,3,12,25,50,992777,52203
100,3,16,25,50,991068,55206
100,3,20,25,46,1072646,59386
100,3,24,24,43,1077857,61712
100,3,28,22,34,1208521,66668
100,3,32,23,36,1325965,81726
100,3,36,19,35,1416834,89756
100,3,40,20,36,1540771,104272
100,3,44,20,34,1620460,106461
100,3,48,20,35,1719555,118433
100,3,52,22,40,1784571,140505
100,3,56,18,36,1884209,137471
100,3,60,17,33,1836310,127208
100,3,64,17,28,1924854,111566
100,3,68,17,29,1901865,118714
100,3,72,14,29,1896426,118710
100,4,0,41,99,849593,87819
100,4,4,35,82,878269,78367
100,4,8,35,96,881649,92028
100,4,12,33,96,940110,101988
100,4,16,36,99,944632,110580
100,4,20,31,87,1021720,117703
100,4,24,30,83,1024900,121409
100,4,28,32,81,1142076,146142
100,4,32,30,75,1242786,165042
100,4,36,26,72,1318165,178347
100,4,40,31,76,1428656,213633
100,4,44,30,69,1500592,212224
100,4,48,28,70,1602157,241926
100,4,52,27,67,1677666,249852
100,4,56,24,62,1777464,256549
100,4,60,25,65,1732105,256711
100,4,64,26,64,1830574,270140
100,4,68,28,61,1811872,259960
100,4,72,26,61,1838574,265004
100,5,0,25,39,894066,35498
100,5,4,21,36,921553,33368
100,5,8,27,46,923130,42899
100,5,12,28,47,976221,47992
100,5,16,24,41,973432,44243
100,5,20,28,44,1037042,53024
100,5,24,24,38,1029583,48495
100,5,28,23,37,1130251,58693
100,5,32,18,29,1199328,54119
100,5,36,18,32,1254222,67195
100,5,40,17,31,1350774,77833
100,5,44,19,37,1412473,99463
100,5,48,18,30,1491124,90836
100,5,52,20,28,1548339,91086
100,5,56,18,27,1632692,94999
100,5,60,18,31,1582564,107177
100,5,64,18,33,1660594,119512
100,5,68,16,26,1635338,96394
100,5,72,15,25,1683625,99662
100,0,0,22,37,872123,33797
100,0,4,19,34,900567,32819
100,0,8,20,37,899873,36640
100,0,12,18,38,947358,39613
100,0,16,22,43,946358,47006
100,0,20,20,37,1008383,47786
100,0,24,16,29,1005915,41981
100,0,28,16,27,1103712,48349
100,0,32,17,26,1181656,56883
100,0,36,18,27,1252690,67057
100,0,40,16,24,1354095,71687
100,0,44,15,24,1420853,77655
100,0,48,13,23,1507046,84409
100,0,52,14,24,1566576,90704
100,0,56,14,23,1654392,93773
100,0,60,15,24,1612815,94946
100,0,64,14,24,1690991,100211
100,0,68,11,22,1670886,93259
100,0,72,12,22,1714105,98917
30,1,0,26,51,966766,47695
30,1,4,20,40,1009749,42708
30,1,8,24,50,1004463,53329
30,1,12,23,59,1053133,66557
30,1,16,25,67,1038793,75790
30,1,20,23,66,1083983,80408
30,1,24,24,67,1043012,82574
30,1,28,25,62,1097147,85624
30,1,32,23,57,1123241,86596
30,1,36,21,50,1148911,88301
30,1,40,17,41,1224944,91877
30,1,44,16,40,1293248,104118
30,1,48,16,38,1392913,119635
30,1,52,15,36,1475756,126708
30,1,56,14,36,1578243,143462
30,1,60,12,31,1555630,127535
30,1,64,9,23,1657303,107625
30,1,68,12,27,1655811,118699
30,1,72,12,25,1700998,118756
30,2,0,41,80,877212,71681
30,2,4,38,83,904978,80170
30,2,8,37,87,901973,83021
30,2,12,33,94,951169,94868
30,2,16,32,100,947557,102674
30,2,20,31,101,995670,114432
30,2,24,40,102,969970,118668
30,2,28,38,97,1040379,130574
30,2,32,35,87,1084910,135020
30,2,36,36,79,1135946,145715
30,2,40,29,64,1226471,144432
30,2,44,27,52,1310236,136992
30,2,48,29,53,1413816,151968
30,2,52,28,55,1510791,176449
30,2,56,28,55,1617469,190842
30,2,60,20,43,1600758,159484
30,2,64,19,35,1701650,147903
30,2,68,24,51,1688940,211550
30,2,72,18,39,1726792,179524
30,3,0,27,76,886566,65423
30,3,4,29,85,931140,82543
30,3,8,29,97,932817,95957
30,3,12,30,105,986500,111288
30,3,16,34,119,983906,126936
30,3,20,32,115,1036706,133002
30,3,24,32,103,1016122,124004
30,3,28,33,99,1095727,140543
30,3,32,31,93,1151771,156561
30,3,36,33,84,1218228,166779
30,3,40,31,72,1349959,180969
30,3,44,28,64,1462957,190599
30,3,48,25,59,1600907,212591
30,3,52,22,60,1726299,240636
30,3,56,22,57,1882808,261792
30,3,60,22,58,1872093,261627
30,3,64,20,58,2009749,290629
30,3,68,18,56,2010155,288360
30,3,72,18,58,2051860,301127
30,4,0,27,42,868813,36382
30,4,4,22,34,894459,31709
30,4,8,25,46,894823,42408
30,4,12,27,59,938802,57608
30,4,16,32,76,929415,73073
30,4,20,29,68,970375,72013
30,4,24,29,73,940179,75655
30,4,28,28,73,996976,83106
30,4,32,33,64,1028677,80578
30,4,36,27,42,1063385,64015
30,4,40,31,48,1136309,80081
30,4,44,32,55,1198860,119923
30,4,48,30,46,1286981,106508
30,4,52,27,43,1367277,109738
30,4,56,25,41,1458976,117550
30,4,60,23,29,1442480,80796
30,4,64,25,36,1542060,106675
30,4,68,21,29,1533879,94170
30,4,72,21,29,1560896,93249
30,5,0,23,55,945301,53734
30,5,4,35,68,981799,73026
30,5,8,35,74,984967,83708
30,5,12,37,95,1042932,116093
30,5,16,34,98,1037864,118991
30,5,20,33,103,1085640,133731
30,5,24,42,103,1050365,131574
30,5,28,40,91,1118938,132990
30,5,32,36,77,1164129,131919
30,5,36,38,79,1213142,145485
30,5,40,35,72,1307926,162634
30,5,44,30,64,1398038,165876
30,5,48,27,55,1515219,163107
30,5,52,31,54,1608913,178059
30,5,56,23,47,1725057,178167
30,5,60,26,51,1705146,189099
30,5,64,30,59,1819461,226077
30,5,68,28,57,1815196,226054
30,5,72,22,51,1836366,208703
30,0,0,34,61,857958,52081
30,0,4,33,72,879784,66492
30,0,8,35,80,881160,76138
30,0,12,39,89,932720,92069
30,0,16,36,88,932387,93146
30,0,20,35,95,974957,107017
30,0,24,35,83,949711,96598
30,0,28,38,89,1010817,115284
30,0,32,36,87,1054947,128767
30,0,36,36,74,1109308,132573
30,0,40,33,60,1201429,131336
30,0,44,30,53,1276395,126843
30,0,48,25,38,1381367,104331
30,0,52,20,35,1464184,112791
30,0,56,26,42,1569576,147297
30,0,60,24,46,1548992,156027
30,0,64,19,33,1639850,119552
30,0,68,22,37,1631569,134806
30,0,72,24,46,1641172,167795
10,1,0,35,87,866079,74461
10,1,4,34,83,887767,78310
10,1,8,34,95,892635,91691
10,1,12,35,111,945053,114204
10,1,16,31,112,944337,116875
10,1,20,35,123,985028,135528
10,1,24,35,134,952092,143512
10,1,28,37,145,1006909,166003
10,1,32,38,144,1021566,169785
10,1,36,36,137,1034753,169036
10,1,40,35,146,1078781,195258
10,1,44,32,118,1122028,177993
10,1,48,34,116,1192737,196776
10,1,52,36,118,1269176,223781
10,1,56,35,107,1373360,240234
10,1,60,29,85,1383103,202235
10,1,64,29,86,1496047,230624
10,1,68,31,91,1522914,254501
10,1,72,32,91,1561380,257751
10,2,0,31,71,864239,63062
10,2,4,33,87,889818,84398
10,2,8,33,86,897277,88061
10,2,12,30,95,948029,103024
10,2,16,31,107,945230,114959
10,2,20,32,131,983921,145371
10,2,24,31,130,947880,144804
10,2,28,33,141,1000048,167955
10,2,32,34,151,1010470,180252
10,2,36,33,118,1017961,156631
10,2,40,35,121,1058392,172559
10,2,44,36,118,1090651,180242
10,2,48,36,105,1151576,184539
10,2,52,38,100,1214037,204854
10,2,56,40,93,1306385,213189
10,2,60,32,80,1303138,194823
10,2,64,33,82,1401846,233424
10,2,68,37,86,1415334,248500
10,2,72,37,90,1454026,266418
10,3,0,21,28,863198,24370
10,3,4,21,30,884696,27424
10,3,8,21,32,888481,30290
10,3,12,19,34,933833,33861
10,3,16,20,38,932760,38522
10,3,20,20,37,965762,39311
10,3,24,20,41,932752,41962
10,3,28,22,46,982170,48970
10,3,32,23,50,996011,55836
10,3,36,25,57,1008068,64007
10,3,40,25,61,1042466,75601
10,3,44,24,54,1077126,72851
10,3,48,25,56,1138044,82830
10,3,52,24,46,1205898,72509
10,3,56,25,48,1303667,87791
10,3,60,22,42,1314882,81650
10,3,64,22,39,1424575,90307
10,3,68,22,41,1449302,95634
10,3,72,21,39,1487346,94585
10,4,0,24,52,927782,50530
10,4,4,21,47,961700,50280
10,4,8,24,57,965830,61945
10,4,12,24,67,1021145,77464
10,4,16,23,63,1016406,72615
10,4,20,25,75,1050855,91373
10,4,24,27,83,1003764,95828
10,4,28,21,72,1062254,92549
10,4,32,23,79,1070978,104434
10,4,36,24,69,1077390,101780
10,4,40,23,72,1117123,116191
10,4,44,23,66,1146948,116623
10,4,48,24,61,1214684,130061
10,4,52,22,58,1286369,142712
10,4,56,22,56,1388078,159535
10,4,60,22,56,1395816,161280
10,4,64,24,54,1510620,176828
10,4,68,24,54,1537361,178064
10,4,72,23,51,1575447,164319
10,5,0,30,57,875771,55389
10,5,4,24,54,899564,58375
10,5,8,24,57,902623,62746
10,5,12,26,63,951432,74826
10,5,16,26,71,953231,83122
10,5,20,26,77,990861,93766
10,5,24,28,79,956482,95281
10,5,28,24,70,1015138,96759
10,5,32,24,67,1029734,100155
10,5,36,25,67,1043710,107358
10,5,40,23,61,1083679,111851
10,5,44,26,62,1126058,125079
10,5,48,23,54,1187973,125375
10,5,52,27,59,1255706,148565
10,5,56,28,59,1349354,165056
10,5,60,29,58,1367036,170824
10,5,64,25,56,1481702,183475
10,5,68,30,62,1510291,205169
10,5,72,31,62,1552831,212542
10,0,0,23,46,871306,39366
10,0,4,21,48,891498,43039
10,0,8,21,55,894289,51128
10,0,12,22,60,937145,58299
10,0,16,22,74,931142,71840
10,0,20,23,78,959681,79123
10,0,24,21,71,934787,75212
10,0,28,24,83,963764,89718
10,0,32,20,71,965736,83168
10,0,36,24,77,966897,92489
10,0,40,21,72,987510,94311
10,0,44,21,65,1010119,94688
10,0,48,21,59,1053374,99313
10,0,52,20,51,1105591,100016
10,0,56,22,49,1173572,110085
10,0,60,23,51,1179364,119045
10,0,64,19,43,1266117,118307
10,0,68,21,46,1273766,128276
10,0,72,19,43,1307692,130004
3,1,0,33,41,904916,38472
3,1,4,28,36,937099,36488
3,1,8,27,35,943067,36985
3,1,12,26,36,996926,40438
3,1,16,27,41,997171,46641
3,1,20,29,48,1035740,56033
3,1,24,28,44,1012771,50626
3,1,28,25,45,1054128,54458
3,1,32,26,51,1057899,61853
3,1,36,35,60,1063289,73682
3,1,40,32,57,1088615,71797
3,1,44,31,58,1108746,74022
3,1,48,24,54,1145042,72439
3,1,52,26,56,1183186,77441
3,1,56,22,51,1244086,77519
3,1,60,22,52,1224790,77464
3,1,64,23,49,1299429,80546
3,1,68,25,53,1311770,89440
3,1,72,24,51,1343743,88796
3,2,0,25,54,805437,46806
3,2,4,23,52,814752,45355
3,2,8,22,48,822348,43612
3,2,12,26,54,862444,53783
3,2,16,24,68,861074,68076
3,2,20,27,76,892118,81162
3,2,24,25,71,876257,75857
3,2,28,28,81,909584,93401
3,2,32,30,87,911459,103852
3,2,36,33,94,915265,113698
3,2,40,33,98,934090,124284
3,2,44,34,101,945113,130961
3,2,48,31,102,975172,140836
3,2,52,31,103,1004910,149977
3,2,56,34,106,1048845,165289
3,2,60,32,101,1029194,156432
3,2,64,35,102,1082743,175637
3,2,68,32,89,1085588,160168
3,2,72,35,88,1105961,164552
3,3,0,22,44,887372,39674
3,3,4,22,46,905664,46715
3,3,8,23,49,911249,52071
3,3,12,24,50,960582,57542
3,3,16,23,46,963753,52020
3,3,20,24,60,999502,73011
3,3,24,24,58,977234,69403
3,3,28,22,57,1017674,75104
3,3,32,26,64,1011963,84578
3,3,36,28,66,1010832,86574
3,3,40,24,66,1027004,90282
3,3,44,27,77,1031687,105492
3,3,48,26,67,1060189,97151
3,3,52,26,68,1084668,104858
3,3,56,22,64,1124730,108925
3,3,60,26,68,1104838,115415
3,3,64,29,72,1160594,131382
3,3,68,26,55,1161799,99656
3,3,72,26,57,1179366,105514
3,4,0,39,59,820275,47791
3,4,4,29,51,831438,42858
3,4,8,23,50,834404,43769
3,4,12,26,58,876275,53706
3,4,16,28,68,876761,65670
3,4,20,27,63,907194,62766
3,4,24,30,68,885765,67238
3,4,28,31,66,920229,70213
3,4,32,32,83,917679,87885
3,4,36,34,91,917803,95665
3,4,40,32,88,933220,98950
3,4,44,31,89,940502,102185
3,4,48,26,81,969371,102436
3,4,52,29,85,989564,112603
3,4,56,27,95,1025920,133920
3,4,60,31,92,1011543,132145
3,4,64,36,98,1058207,149422
3,4,68,38,98,1062545,154468
3,4,72,38,96,1079318,158758
3,5,0,29,71,900137,65763
3,5,4,32,71,929989,73278
3,5,8,28,69,935069,73976
3,5,12,29,72,989853,85906
3,5,16,34,86,995889,104595
3,5,20,33,88,1035988,113983
3,5,24,32,88,1014507,115665
3,5,28,34,91,1061547,128874
3,5,32,37,106,1065039,150842
3,5,36,34,107,1070089,155351
3,5,40,32,109,1095499,164642
3,5,44,32,107,1110445,167858
3,5,48,34,104,1151762,178062
3,5,52,30,101,1186799,184060
3,5,56,32,102,1239075,200934
3,5,60,32,101,1222309,201925
3,5,64,34,99,1288045,214768
3,5,68,32,98,1293678,220073
3,5,72,30,93,1321384,217863
3,0,0,25,71,818348,58637
3,0,4,25,75,842278,66300
3,0,8,24,75,849238,68842
3,0,12,26,78,895036,77463
3,0,16,26,81,896987,81138
3,0,20,28,86,930235,91017
3,0,24,26,85,912176,90773
3,0,28,29,93,944907,105398
3,0,32,29,101,949915,117765
3,0,36,28,100,952940,118093
3,0,40,27,108,976337,132075
3,0,44,30,105,988909,136512
3,0,48,24,102,1019817,136699
3,0,52,29,114,1042803,162398
3,0,56,28,103,1082546,165352
3,0,60,31,103,1062520,164564
3,0,64,29,96,1115146,172358
3,0,68,31,89,1120660,170742
3,0,72,34,105,1145361,202762